AGE,DRIVING_EXPERIENCE,PAST_ACCIDENTS,SPEEDING_VIOLATIONS,DUIS,ANNUAL_MILEAGE,VEHICLE_YEAR,VEHICLE_OWNERSHIP,OUTCOME
2,2,5,2,0,11000.0,0,1,0
1,1,2,3,0,16000.0,0,1,0
0,0,0,0,0,14000.0,0,0,1
2,2,2,6,0,7000.0,1,1,0
1,1,1,3,0,11000.0,0,0,1
2,0,0,0,0,13000.0,0,1,0
1,1,0,0,0,15000.0,0,1,0
2,2,1,0,0,14000.0,0,1,0
2,2,5,0,0,17000.0,0,1,0
1,1,0,5,0,7000.0,1,1,0
0,0,0,0,0,16000.0,0,1,0
3,2,2,3,0,4000.0,1,1,0
0,0,0,0,0,12000.0,0,1,1
3,2,3,5,2,13000.0,0,1,0
1,0,0,0,0,11000.0,0,0,0
2,2,2,5,1,8000.0,0,1,0
3,1,1,0,1,12000.0,1,0,0
2,0,0,0,0,14000.0,1,1,0
1,0,0,0,0,12000.0,0,0,1
0,0,0,0,0,14000.0,0,1,0
0,0,0,0,0,9000.0,0,0,1
2,1,0,0,0,12000.0,0,1,0
2,2,1,4,1,15000.0,0,0,0
2,0,0,0,0,11000.0,1,1,1
0,0,0,0,0,13000.0,0,0,1
3,2,0,4,0,10000.0,1,1,0
1,1,4,0,0,14000.0,0,0,1
1,1,1,1,0,14000.0,0,1,0
1,0,0,0,0,11000.0,1,1,0
0,0,0,0,0,10000.0,0,0,1
2,1,0,0,0,12000.0,0,1,0
3,0,0,0,0,11000.0,0,1,0
0,0,0,0,0,9000.0,1,1,0
3,3,0,2,0,11000.0,1,1,0
3,3,4,8,4,10000.0,0,1,0
1,1,2,1,1,15000.0,0,0,1
1,0,0,0,0,15000.0,1,0,0
0,0,0,0,0,13000.0,0,0,1
3,3,1,3,1,13000.0,1,1,0
0,0,0,0,0,11000.0,0,0,1
3,1,0,0,0,12000.0,1,0,0
1,1,2,1,0,12000.0,0,0,0
1,0,0,0,0,10000.0,0,0,1
3,3,3,6,0,8000.0,0,1,0
0,0,0,0,0,12000.0,0,0,1
3,3,1,2,1,13000.0,1,1,0
0,0,0,0,0,14000.0,1,1,0
3,2,1,1,0,12000.0,1,1,0
0,0,0,0,0,17000.0,0,1,1
1,1,0,0,0,18000.0,0,0,1
3,2,0,3,0,12000.0,0,1,0
3,3,3,3,2,17000.0,1,1,0
3,0,0,0,0,8000.0,0,1,1
3,3,5,11,3,12000.0,1,1,0
1,1,0,1,0,15000.0,0,0,1
1,1,0,1,0,16000.0,0,1,1
0,0,0,0,0,12000.0,0,1,1
1,1,3,2,0,8000.0,0,1,0
2,2,4,4,0,11000.0,0,1,0
3,3,0,4,0,13000.0,0,1,0
3,3,1,5,1,11000.0,0,1,0
2,0,0,0,0,16000.0,0,1,1
2,2,4,6,0,5000.0,0,1,0
3,3,4,3,0,15000.0,0,1,0
3,3,1,1,0,14000.0,1,1,0
3,3,5,5,1,7000.0,0,1,0
1,0,0,0,0,12000.0,0,0,1
3,3,1,8,1,8000.0,1,1,0
2,1,0,4,1,11000.0,0,1,0
2,2,5,1,0,8000.0,1,1,0
1,1,0,5,0,10000.0,1,1,0
2,1,2,0,1,17000.0,0,1,0
0,0,0,0,0,11000.0,0,1,1
2,0,0,0,0,14000.0,1,1,0
0,0,0,0,0,13000.0,0,0,1
2,2,1,0,1,17000.0,1,0,0
1,1,0,2,1,15000.0,0,1,1
3,3,2,7,1,10000.0,0,1,0
1,1,1,0,0,13000.0,1,1,0
0,0,0,0,0,15000.0,0,1,1
3,3,7,5,1,9000.0,1,0,0
0,0,0,0,0,12000.0,0,0,1
2,2,3,3,0,13000.0,1,1,0
2,2,3,1,0,12000.0,0,1,0
2,1,3,0,0,10000.0,0,1,0
0,0,0,0,0,10000.0,0,1,1
0,0,0,0,0,13000.0,0,0,1
0,0,0,0,0,13000.0,0,0,1
0,0,0,0,0,12000.0,0,0,1
3,3,3,13,6,6000.0,0,1,0
0,0,0,0,0,9000.0,0,0,1
2,0,0,0,0,12000.0,0,1,1
0,0,0,0,0,7000.0,0,1,1
2,2,2,2,0,13000.0,1,1,0
0,0,0,0,0,14000.0,0,1,0
0,0,0,0,0,14000.0,0,1,1
1,1,0,0,1,16000.0,0,1,0
2,2,1,2,0,11000.0,1,1,0
1,1,2,2,0,12000.0,0,0,0
3,0,0,0,0,10000.0,0,1,1
1,1,1,0,0,13000.0,0,0,1
0,0,0,0,0,12000.0,1,0,0
2,2,2,3,0,10000.0,1,1,0
2,2,3,5,0,6000.0,0,1,0
3,3,4,9,3,10000.0,0,1,0
0,0,0,0,0,9000.0,1,1,0
1,1,4,0,0,14000.0,0,1,0
1,1,0,1,0,6000.0,0,1,0
2,2,2,4,1,12000.0,1,1,0
3,1,0,0,0,15000.0,1,1,0
1,1,0,3,0,10000.0,0,1,0
1,1,0,2,0,11000.0,0,0,1
2,2,8,1,0,12000.0,1,1,0
2,2,2,5,1,8000.0,0,1,0
3,3,0,3,1,13000.0,1,1,0
1,1,1,0,0,12000.0,0,0,0
2,1,0,4,0,9000.0,0,1,0
0,0,0,0,0,12000.0,1,0,0
2,2,1,2,2,15000.0,0,1,0
0,0,0,0,0,12000.0,0,0,1
2,2,5,0,0,12000.0,1,1,0
0,0,0,0,0,11000.0,0,1,1
0,0,0,0,0,12000.0,1,1,0
2,2,0,2,0,10000.0,1,1,0
3,3,3,2,1,9000.0,0,1,0
0,0,0,0,0,12000.0,0,0,1
0,0,0,0,0,14000.0,0,1,0
0,0,0,0,0,11000.0,0,1,1
1,0,0,0,0,13000.0,1,1,0
2,2,1,1,0,11000.0,1,0,0
0,0,0,0,0,18000.0,0,0,1
2,2,1,3,1,15000.0,1,1,0
1,1,1,0,0,13000.0,1,1,0
1,0,0,0,0,17000.0,0,1,0
3,2,2,0,0,16000.0,0,1,0
3,3,3,7,1,13000.0,1,1,0
1,0,0,0,0,20000.0,0,1,1
3,2,6,3,0,11000.0,1,1,0
0,0,0,0,0,13000.0,0,1,1
1,1,0,1,0,14000.0,0,0,0
0,0,0,0,0,16000.0,0,0,1
0,0,0,0,0,8000.0,1,0,1
1,1,1,1,0,14000.0,0,1,0
2,2,0,3,0,10000.0,0,1,0
0,0,0,0,0,14000.0,0,1,0
1,0,0,0,0,13000.0,0,1,0
2,2,6,3,1,7000.0,1,1,0
2,0,0,0,0,12000.0,0,1,0
1,1,0,0,0,19000.0,0,0,1
0,0,0,0,0,15000.0,0,1,0
1,1,2,1,0,11000.0,0,0,1
2,2,0,1,0,16000.0,0,1,1
1,1,3,2,0,11000.0,0,0,1
1,1,2,1,0,9000.0,1,1,0
0,0,0,0,0,15000.0,0,0,1
2,0,0,0,0,13000.0,0,1,1
1,0,0,0,0,12000.0,0,0,0
3,3,4,2,0,8000.0,0,0,0
2,2,6,12,0,7000.0,0,0,0
2,0,0,0,0,12000.0,0,1,1
3,3,8,1,1,10000.0,0,1,0
3,0,0,0,0,12000.0,0,1,1
0,0,0,0,0,13000.0,0,1,1
1,0,0,0,0,9000.0,0,0,1
3,2,0,3,0,14000.0,1,0,0
0,0,0,0,0,12000.0,0,1,1
1,0,0,0,0,9000.0,0,0,1
0,0,0,0,0,16000.0,0,1,1
0,0,0,0,0,15000.0,0,1,1
2,0,0,0,0,8000.0,0,1,0
3,2,0,0,1,9000.0,1,0,0
2,2,0,2,0,11000.0,0,1,0
1,1,2,5,0,12000.0,0,0,1
3,1,0,0,0,12000.0,0,1,0
1,1,3,1,0,12000.0,0,0,0
2,2,0,2,0,12000.0,1,1,0
0,0,0,0,0,10000.0,0,0,1
2,2,1,1,0,9000.0,1,0,0
1,1,1,2,0,7000.0,0,1,0
3,3,1,4,0,9000.0,0,1,0
3,1,0,2,0,5000.0,0,1,0
2,1,1,5,0,6000.0,1,1,0
1,0,0,0,0,14000.0,0,0,0
1,1,0,1,0,12000.0,0,1,1
2,2,2,0,0,12000.0,1,1,0
1,1,1,3,0,12000.0,0,1,0
0,0,0,0,0,19000.0,0,0,1
0,0,0,0,0,17000.0,0,0,1
2,2,1,1,1,12000.0,1,1,0
2,1,1,2,0,12000.0,0,1,0
1,1,0,0,0,13000.0,1,1,0
1,1,1,6,0,12000.0,0,1,0
2,2,2,1,0,10000.0,0,1,0
0,0,0,0,0,11000.0,1,1,1
2,2,2,3,0,12000.0,0,1,0
1,1,1,0,0,10000.0,0,0,0
2,2,2,0,1,16000.0,1,1,0
1,1,1,0,1,15000.0,1,1,0
3,3,6,1,1,13000.0,0,1,0
3,3,3,6,1,12000.0,1,1,0
1,1,1,3,0,9000.0,0,0,0
2,2,2,3,0,9000.0,0,1,0
2,0,0,0,0,10000.0,0,0,1
3,3,4,2,0,9000.0,0,1,0
3,0,0,0,0,10000.0,1,1,0
2,2,2,4,1,10000.0,1,1,0
3,0,0,0,0,11000.0,0,1,0
3,0,0,0,0,8000.0,1,0,0
2,0,0,0,0,12000.0,0,1,1
3,1,1,2,1,13000.0,1,0,0
1,0,0,0,0,13000.0,0,1,0
1,1,2,1,0,10000.0,0,1,1
0,0,0,0,0,15000.0,0,0,1
1,1,1,0,0,13000.0,0,1,0
0,0,0,0,0,11000.0,0,1,0
0,0,0,0,0,16000.0,0,0,1
1,1,1,1,0,12000.0,0,1,0
3,3,1,5,1,9000.0,1,1,0
2,0,0,0,0,10000.0,1,1,0
2,2,3,4,1,8000.0,1,1,0
1,1,0,0,0,17000.0,0,1,0
3,3,3,10,4,9000.0,1,1,0
0,0,0,0,0,8000.0,1,0,1
2,2,1,0,0,11000.0,0,0,0
2,2,2,0,1,13000.0,1,1,0
2,2,1,6,0,5000.0,1,1,0
2,2,0,1,0,13000.0,0,1,0
2,2,2,5,0,12000.0,1,1,0
2,2,0,2,0,15000.0,0,1,1
0,0,0,0,0,9000.0,0,1,0
1,1,0,1,0,8000.0,1,1,0
3,0,0,0,0,8000.0,1,1,0
3,2,1,0,0,16000.0,1,1,0
0,0,0,0,0,15000.0,0,1,1
0,0,0,0,0,13000.0,0,0,1
2,0,0,0,0,9000.0,1,1,0
0,0,0,0,0,14000.0,0,1,1
1,0,0,0,0,13000.0,0,1,0
0,0,0,0,0,11000.0,1,0,1
2,1,2,0,1,11000.0,1,1,0
1,1,0,0,0,14000.0,0,1,0
1,1,3,2,0,8000.0,0,1,0
1,1,2,0,0,16000.0,0,1,0
3,2,3,3,0,14000.0,1,1,0
2,2,0,4,1,10000.0,0,1,0
1,1,3,3,1,12000.0,0,1,0
3,1,1,0,0,9000.0,1,1,0
2,2,2,2,1,12000.0,1,1,0
1,0,0,0,0,12000.0,0,1,1
1,0,0,0,0,9000.0,0,0,1
1,0,0,0,0,9000.0,0,0,0
0,0,0,0,0,12000.0,0,1,1
3,3,2,11,0,7000.0,0,1,0
3,1,2,4,0,12000.0,0,0,0
0,0,0,0,0,15000.0,0,1,0
0,0,0,0,0,16000.0,0,0,1
2,2,2,2,1,12000.0,0,1,0
3,3,1,7,1,9000.0,0,1,0
2,1,1,4,0,12000.0,0,1,1
1,1,5,4,0,12000.0,0,0,1
1,0,0,0,0,16000.0,0,1,1
3,0,0,0,0,10000.0,1,1,0
1,0,0,0,0,14000.0,0,1,0
1,1,1,1,0,11000.0,1,1,0
1,1,2,0,0,12000.0,0,1,0
3,3,3,1,0,18000.0,1,1,0
1,1,0,1,0,12000.0,0,0,1
2,2,1,3,0,10000.0,1,1,0
1,1,0,1,2,12000.0,0,0,0
0,0,0,0,0,12000.0,0,1,1
2,2,0,4,2,9000.0,1,1,0
3,3,2,0,0,18000.0,0,0,0
1,0,0,0,0,11000.0,0,1,1
3,1,2,1,0,9000.0,1,0,0
2,2,0,1,0,12000.0,0,1,0
0,0,0,0,0,17000.0,0,0,1
1,1,3,0,0,9000.0,0,0,0
0,0,0,0,0,17000.0,0,0,1
1,1,2,3,0,14000.0,0,1,0
0,0,0,0,0,9000.0,0,1,0
1,1,1,2,0,8000.0,0,1,0
2,2,3,5,0,9000.0,0,1,0
1,1,0,0,0,16000.0,1,1,0
3,0,0,0,0,11000.0,1,1,0
3,3,7,3,1,11000.0,1,1,0
2,0,0,0,0,12000.0,0,1,0
3,1,0,0,0,13000.0,1,1,0
0,0,0,0,0,9000.0,0,0,0
3,3,3,11,0,8000.0,0,1,0
0,0,0,0,0,17000.0,0,0,1
0,0,0,0,0,15000.0,0,0,1
2,2,3,8,1,8000.0,0,1,1
0,0,0,0,0,15000.0,1,0,0
2,2,0,3,1,12000.0,0,0,0
1,1,1,0,0,11000.0,0,0,1
0,0,0,0,0,16000.0,0,1,0
1,1,2,1,0,14000.0,0,1,1
3,3,7,5,0,10000.0,0,1,0
0,0,0,0,0,14000.0,0,1,1
2,1,2,4,1,9000.0,1,1,0
1,1,0,1,0,11000.0,1,1,0
1,0,0,0,0,15000.0,0,1,1
2,2,0,3,1,13000.0,0,1,0
2,0,0,0,0,9000.0,0,1,1
1,1,1,0,0,12000.0,0,0,1
1,1,0,2,0,9000.0,0,1,0
0,0,0,0,0,10000.0,0,1,1
2,2,5,3,1,12000.0,0,1,0
2,1,1,2,0,12000.0,0,0,1
2,2,1,2,0,15000.0,0,1,0
0,0,0,0,0,14000.0,0,0,1
2,2,3,6,0,8000.0,0,1,0
2,2,0,1,0,12000.0,1,1,0
0,0,0,0,0,18000.0,0,0,1
2,2,3,3,1,12000.0,0,1,0
2,2,0,2,0,10000.0,1,1,0
2,0,0,0,0,8000.0,1,0,1
3,0,0,0,0,11000.0,0,1,0
0,0,0,0,0,14000.0,0,0,1
2,2,0,3,0,11000.0,0,0,0
0,0,0,0,0,13000.0,1,0,1
1,1,0,1,0,13000.0,0,0,1
1,1,2,3,0,9000.0,0,0,0
1,1,0,1,0,9000.0,0,1,0
2,2,5,0,1,14000.0,1,1,0
1,1,1,1,0,12000.0,1,1,0
2,0,0,0,0,15000.0,0,1,1
2,1,0,0,0,11000.0,0,1,0
2,2,2,4,0,13000.0,1,1,0
1,1,1,0,0,9000.0,0,1,0
3,2,2,2,0,9000.0,0,1,0
1,1,1,0,0,12000.0,0,1,0
1,1,0,0,0,7000.0,0,1,0
2,2,0,5,0,11000.0,0,1,0
1,1,1,0,0,17000.0,0,0,1
2,0,0,0,0,8000.0,1,1,0
0,0,0,0,0,12000.0,1,1,0
1,1,2,1,0,11000.0,1,1,0
3,2,2,2,0,11000.0,0,1,0
2,1,1,7,1,6000.0,0,1,0
0,0,0,0,0,12000.0,0,1,0
2,2,0,2,0,11000.0,0,1,0
1,1,1,1,0,11000.0,0,1,0
2,0,0,0,0,12000.0,0,1,1
0,0,0,0,0,11000.0,0,1,0
2,2,0,1,0,11000.0,0,1,0
2,1,0,4,0,12000.0,0,1,0
2,2,1,4,0,11000.0,1,1,0
1,1,0,0,0,18000.0,0,0,1
0,0,0,0,0,10000.0,0,1,0
0,0,0,0,0,10000.0,0,0,1
3,3,2,8,2,7000.0,0,1,0
0,0,0,0,0,12000.0,0,0,1
2,2,4,3,2,8000.0,0,1,0
3,1,0,0,0,14000.0,1,1,0
1,0,0,0,0,13000.0,0,1,0
1,1,1,2,1,15000.0,0,1,1
1,1,0,4,0,11000.0,0,0,1
2,2,1,1,1,8000.0,0,0,0
1,1,1,0,0,13000.0,0,1,0
3,0,0,0,0,15000.0,1,1,0
1,1,1,2,1,12000.0,0,0,0
3,3,2,3,1,7000.0,1,1,0
0,0,0,0,0,13000.0,0,0,0
3,0,0,0,0,12000.0,0,1,1
3,1,3,2,0,12000.0,0,0,0
1,1,1,0,0,13000.0,0,1,0
1,0,0,0,0,9000.0,0,0,0
1,1,0,0,0,12000.0,0,0,0
2,2,7,1,2,12000.0,1,1,0
2,0,0,0,0,19000.0,0,1,1
2,2,1,1,0,8000.0,0,1,0
2,0,0,0,0,8000.0,0,1,1
1,0,0,0,0,13000.0,0,0,1
2,2,6,0,2,12000.0,0,0,0
1,1,2,2,0,11000.0,1,1,0
3,1,0,0,0,15000.0,1,1,0
3,0,0,0,0,7000.0,0,1,0
3,2,0,2,1,7000.0,1,1,0
3,3,0,2,0,10000.0,0,1,0
1,1,2,1,2,11000.0,1,1,0
1,1,0,0,0,11000.0,0,1,1
3,3,1,7,2,6000.0,1,1,0
1,1,2,2,0,12000.0,0,0,0
3,1,3,3,1,12000.0,0,1,0
1,1,0,1,0,9000.0,0,1,0
2,2,3,7,0,12000.0,1,1,0
1,1,1,1,1,9000.0,1,1,0
1,0,0,0,0,8000.0,1,0,1
0,0,0,0,0,9000.0,0,1,0
2,1,0,2,3,13000.0,0,1,1
2,1,0,3,0,12000.0,0,1,0
0,0,0,0,0,9000.0,0,0,1
1,1,3,1,0,10000.0,0,0,1
1,1,0,1,0,17000.0,0,1,0
2,1,4,1,0,9000.0,0,1,0
2,1,0,1,1,10000.0,1,1,0
0,0,0,0,0,15000.0,0,1,0
3,3,3,6,1,14000.0,0,1,0
1,1,2,0,0,9000.0,1,0,0
2,0,0,0,0,12000.0,0,0,1
1,1,0,1,0,12000.0,0,0,0
2,2,5,6,0,6000.0,1,1,0
1,1,1,0,1,14000.0,0,1,1
0,0,0,0,0,13000.0,1,0,1
0,0,0,0,0,13000.0,0,0,1
3,3,2,2,1,12000.0,1,1,0
0,0,0,0,0,16000.0,0,1,1
2,1,0,0,0,13000.0,0,0,0
2,2,1,3,0,10000.0,0,1,0
1,0,0,0,0,12000.0,0,1,0
0,0,0,0,0,14000.0,1,0,1
2,0,0,0,0,12000.0,1,1,0
3,3,1,5,1,9000.0,1,1,0
3,3,0,2,1,16000.0,0,1,0
0,0,0,0,0,10000.0,0,0,0
0,0,0,0,0,13000.0,0,0,1
2,2,5,3,0,9000.0,0,0,0
1,0,0,0,0,10000.0,0,1,0
3,3,5,6,1,8000.0,1,1,0
3,3,2,8,0,12000.0,0,1,0
2,2,1,4,1,15000.0,1,1,0
1,1,4,0,1,12000.0,1,1,0
0,0,0,0,0,13000.0,0,1,0
1,1,1,1,0,10000.0,0,1,1
2,2,1,1,1,13000.0,1,1,0
2,0,0,0,0,7000.0,1,0,1
2,2,2,1,0,16000.0,1,1,0
2,0,0,0,0,13000.0,0,0,1
2,0,0,0,0,10000.0,0,0,1
0,0,0,0,0,6000.0,0,1,0
1,1,0,0,0,11000.0,0,1,0
1,1,1,2,0,10000.0,0,0,1
3,3,5,3,0,8000.0,1,0,0
2,0,0,0,0,13000.0,0,1,0
2,2,1,9,0,9000.0,0,0,0
2,1,0,5,0,12000.0,0,1,1
3,2,2,1,0,11000.0,0,1,0
0,0,0,0,0,15000.0,0,0,0
2,1,4,1,0,12000.0,1,1,0
0,0,0,0,0,10000.0,0,0,1
3,3,5,10,1,9000.0,0,0,0
0,0,0,0,0,10000.0,0,1,1
0,0,0,0,0,3000.0,0,0,1
1,1,0,1,1,8000.0,1,1,0
2,2,2,3,0,8000.0,0,1,0
2,2,1,0,0,13000.0,0,0,0
2,1,0,4,0,10000.0,0,0,0
2,2,7,3,1,14000.0,0,1,0
2,2,0,4,0,10000.0,0,1,0
1,0,0,0,0,12000.0,0,0,1
3,3,0,4,1,9000.0,0,1,0
1,0,0,0,0,11000.0,0,1,0
0,0,0,0,0,11000.0,0,1,0
3,3,4,4,1,11000.0,1,1,0
2,1,1,0,0,13000.0,1,1,0
1,0,0,0,0,6000.0,0,1,0
1,1,0,1,0,16000.0,0,1,1
0,0,0,0,0,8000.0,0,1,0
3,3,5,11,1,10000.0,1,1,0
2,0,0,0,0,10000.0,0,0,1
2,2,0,0,1,11000.0,0,1,0
0,0,0,0,0,10000.0,0,0,1
1,1,0,3,0,14000.0,1,1,0
1,0,0,0,0,12000.0,0,1,0
1,1,0,0,0,14000.0,1,1,0
3,0,0,0,0,11000.0,0,0,1
1,1,1,0,1,18000.0,0,1,1
3,1,0,1,2,11000.0,1,1,0
2,1,3,1,0,15000.0,0,1,0
0,0,0,0,0,12000.0,0,0,1
0,0,0,0,0,14000.0,1,0,1
1,0,0,0,0,12000.0,0,1,1
2,1,0,2,1,12000.0,1,1,0
0,0,0,0,0,13000.0,0,0,1
0,0,0,0,0,13000.0,0,1,1
0,0,0,0,0,13000.0,0,0,1
1,1,0,1,0,10000.0,0,1,0
0,0,0,0,0,12000.0,0,0,1
2,2,5,2,0,13000.0,1,0,0
3,2,3,4,0,10000.0,0,1,0
2,1,1,1,0,15000.0,0,1,1
1,1,1,0,2,10000.0,0,1,0
2,2,8,4,0,12000.0,0,1,0
2,2,1,1,0,13000.0,1,0,0
1,1,1,0,0,15000.0,0,1,0
2,0,0,0,0,12000.0,0,1,1
3,3,6,3,1,10000.0,0,1,0
0,0,0,0,0,12000.0,0,0,1
0,0,0,0,0,8000.0,0,1,1
3,0,0,0,0,10000.0,1,1,1
2,1,2,10,0,5000.0,0,1,1
3,0,0,0,0,10000.0,1,1,0
0,0,0,0,0,8000.0,1,1,0
1,1,1,7,0,10000.0,1,1,0
3,0,0,0,0,8000.0,0,1,1
2,2,0,0,0,13000.0,0,0,0
1,1,0,1,0,10000.0,0,0,1
2,2,1,3,0,10000.0,1,1,0
2,1,0,1,0,8000.0,0,1,0
0,0,0,0,0,12000.0,0,1,1
2,1,0,3,0,12000.0,0,1,0
0,0,0,0,0,13000.0,0,1,0
2,2,1,2,0,15000.0,0,1,0
2,2,2,3,0,13000.0,0,0,0
1,1,1,1,0,9000.0,0,0,1
3,3,3,10,0,3000.0,0,1,0
2,2,0,3,0,15000.0,1,0,0
3,3,1,11,0,6000.0,1,1,0
2,1,0,1,0,12000.0,1,1,0
2,1,0,0,0,15000.0,0,1,0
1,1,0,1,0,13000.0,1,1,0
0,0,0,0,0,12000.0,0,1,1
2,0,0,0,0,12000.0,0,0,1
2,2,2,3,1,12000.0,0,0,1
2,1,3,4,1,9000.0,0,1,0
1,1,0,0,0,18000.0,0,1,1
3,3,0,0,0,12000.0,1,0,0
2,2,5,3,1,12000.0,0,1,0
1,1,1,1,0,15000.0,0,1,0
1,1,0,0,0,9000.0,0,1,0
1,1,1,1,0,9000.0,0,0,0
2,2,3,0,0,12000.0,0,1,0
3,3,3,3,1,14000.0,0,1,0
2,1,0,1,0,8000.0,1,1,0
1,0,0,0,0,12000.0,0,1,0
1,1,1,0,0,12000.0,0,1,0
3,2,0,5,1,5000.0,0,0,0
2,2,1,0,2,10000.0,1,1,0
3,1,0,3,0,11000.0,0,1,0
0,0,0,0,0,14000.0,0,1,0
2,1,3,1,0,7000.0,0,0,0
2,1,1,0,0,13000.0,0,0,0
1,1,0,0,1,12000.0,1,1,0
3,1,0,5,1,8000.0,0,1,0
1,0,0,0,0,10000.0,0,0,1
3,3,5,4,1,13000.0,1,0,0
1,1,0,1,0,11000.0,0,1,0
1,1,1,2,0,8000.0,1,0,0
2,2,3,4,1,10000.0,0,1,0
3,3,0,6,0,11000.0,0,1,0
2,1,1,1,0,10000.0,1,1,1
3,3,0,2,1,14000.0,0,1,0
2,2,5,5,0,11000.0,0,1,0
3,3,2,3,0,8000.0,0,0,0
2,2,2,1,0,12000.0,0,1,0
1,0,0,0,0,16000.0,0,1,0
2,2,1,3,0,11000.0,1,1,0
0,0,0,0,0,12000.0,0,1,1
1,0,0,0,0,15000.0,0,1,1
3,3,2,6,0,12000.0,0,1,0
1,1,0,2,0,9000.0,0,0,1
0,0,0,0,0,14000.0,0,1,1
0,0,0,0,0,16000.0,0,1,1
0,0,0,0,0,7000.0,0,0,1
1,1,2,0,0,13000.0,1,1,0
1,1,0,4,0,12000.0,0,1,0
1,1,1,3,0,12000.0,0,1,0
2,2,1,2,0,18000.0,0,1,0
3,3,4,1,0,12000.0,0,1,0
1,1,0,1,0,14000.0,0,0,1
0,0,0,0,0,15000.0,0,1,1
3,0,0,0,0,10000.0,0,1,0
1,1,2,1,0,11000.0,0,1,1
2,2,1,4,1,9000.0,0,0,0
2,2,4,5,0,11000.0,0,0,0
3,1,0,2,0,12000.0,1,1,0
1,1,1,0,1,11000.0,1,1,0
3,3,3,4,0,16000.0,1,1,0
0,0,0,0,0,14000.0,0,1,1
1,1,2,0,0,14000.0,1,0,0
2,0,0,0,0,10000.0,0,1,1
0,0,0,0,0,14000.0,0,0,1
0,0,0,0,0,12000.0,0,1,1
3,3,6,3,1,12000.0,0,1,0
2,0,0,0,0,12000.0,0,1,1
0,0,0,0,0,14000.0,0,0,0
0,0,0,0,0,7000.0,0,1,1
1,1,1,6,0,8000.0,1,1,0
0,0,0,0,0,14000.0,0,1,0
1,1,0,0,1,11000.0,0,1,0
3,0,0,0,0,12000.0,1,1,0
1,1,1,6,1,6000.0,0,1,1
1,1,0,3,2,13000.0,1,0,0
2,0,0,0,0,11000.0,1,1,0
1,1,2,1,1,12000.0,0,0,0
0,0,0,0,0,18000.0,0,1,1
1,0,0,0,0,18000.0,0,0,1
2,2,3,2,1,10000.0,0,1,0
2,2,3,8,0,10000.0,0,1,0
1,0,0,0,0,11000.0,0,1,0
2,1,1,4,1,9000.0,0,1,0
2,2,2,6,0,12000.0,0,1,1
3,2,1,3,0,12000.0,1,1,0
2,1,2,0,0,9000.0,0,1,0
1,1,1,1,0,10000.0,1,0,0
0,0,0,0,0,11000.0,0,1,0
2,2,0,3,1,12000.0,0,1,0
0,0,0,0,0,16000.0,0,0,1
1,1,0,0,1,16000.0,0,1,0
1,1,0,1,0,12000.0,1,0,0
1,1,2,1,0,12000.0,0,0,0
3,2,1,0,0,15000.0,0,1,0
0,0,0,0,0,11000.0,0,0,1
3,1,1,1,0,8000.0,0,1,0
3,0,0,0,0,10000.0,0,0,1
0,0,0,0,0,12000.0,1,1,0
1,0,0,0,0,12000.0,0,1,0
0,0,0,0,0,8000.0,0,0,1
2,2,1,0,0,13000.0,1,1,0
2,1,2,4,0,12000.0,1,1,0
0,0,0,0,0,15000.0,0,1,1
2,1,1,0,0,8000.0,1,1,0
0,0,0,0,0,16000.0,0,1,0
0,0,0,0,0,12000.0,0,1,1
2,2,0,4,1,6000.0,0,1,0
3,3,1,9,0,9000.0,1,1,0
1,1,1,1,0,12000.0,1,1,0
1,1,1,3,0,12000.0,1,1,0
2,2,3,3,1,10000.0,1,0,0
3,3,3,12,0,10000.0,1,1,0
1,1,1,0,0,15000.0,0,1,1
3,3,6,9,0,10000.0,1,0,0
0,0,0,0,0,14000.0,0,0,1
0,0,0,0,0,13000.0,0,1,0
1,0,0,0,0,11000.0,0,1,0
2,1,2,1,0,12000.0,0,1,0
1,1,2,2,0,12000.0,0,0,1
2,0,0,0,0,9000.0,0,1,0
2,1,0,1,1,12000.0,1,1,0
2,1,0,0,1,11000.0,0,1,1
2,2,0,1,0,14000.0,0,0,1
0,0,0,0,0,12000.0,0,0,1
1,0,0,0,0,8000.0,0,1,0
2,2,5,4,1,12000.0,1,0,0
1,1,4,2,1,10000.0,0,0,1
2,1,2,1,1,12000.0,0,1,0
1,1,4,2,0,13000.0,0,1,0
3,3,8,5,1,8000.0,0,0,0
3,3,4,4,0,11000.0,0,1,0
2,2,2,3,0,10000.0,1,1,0
2,2,3,2,0,15000.0,0,1,0
0,0,0,0,0,13000.0,0,0,1
0,0,0,0,0,8000.0,0,1,1
1,1,1,5,1,9000.0,0,1,1
3,3,2,3,1,12000.0,1,1,0
3,3,0,10,1,6000.0,0,0,0
0,0,0,0,0,9000.0,0,1,0
2,1,2,1,0,11000.0,0,1,1
0,0,0,0,0,12000.0,0,1,0
2,1,1,2,0,10000.0,0,1,0
1,1,1,1,0,12000.0,0,1,1
0,0,0,0,0,13000.0,0,1,0
0,0,0,0,0,14000.0,0,0,1
0,0,0,0,0,11000.0,1,1,0
1,0,0,0,0,3000.0,0,1,0
2,1,2,2,0,11000.0,0,1,1
1,1,2,1,0,14000.0,1,1,0
2,0,0,0,0,6000.0,1,0,1
2,2,2,2,0,12000.0,0,1,1
2,2,6,3,0,14000.0,1,1,0
